date,day,cases,deaths,recoveries,active
2020-08-28,171,219198,15859,0,0
2020-08-29,172,222957,16016,0,0
2020-08-30,173,223302,16027,0,0
2020-08-31,174,223631,16065,0,0
2020-09-01,175,226800,16217,0,0
2020-09-02,176,228332,16315,0,0
2020-09-03,177,230271,16394,0,0
2020-09-04,178,232489,16467,0,0
2020-09-05,179,232747,16526,0,0
2020-09-06,180,232818,16568,0,0
2020-09-07,181,233052,16593,0,0
2020-09-08,182,233373,16646,0,0
2020-09-09,183,233873,16770,0,0
2020-09-10,184,234813,16871,0,0
2020-09-11,185,240453,16883,0,0
2020-09-12,186,240776,16985,0,0
2020-09-13,187,242491,16990,0,0
2020-09-14,188,242810,17003,0,0
2020-09-15,189,244418,17180,0,0
2020-09-16,190,246182,17342,0,0
2020-09-17,191,246843,17453,0,0
2020-09-18,192,249798,17575,0,0
